"id","sk","name_formal","state","gov_type","country_code","official_count","term_length","url","upcoming_election","ue_remarks","ue_url_1","special","runoff","ue_cicero_link"
3391,3120,"Huntsville City Council","AL","LOCAL","US",5,"4 years","https://www.huntsvilleal.gov/government/city-council/","2020-11-03 00:00:00+00","Districts 1 & 5.","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16439/change/"
3415,3243,"Thousand Oaks City Council","CA","LOCAL","US",5,"4 years","http://www.toaks.org/departments/city-council","2020-11-03 00:00:00+00","","https://www.toaks.org/departments/city-clerk/elections",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16429/change/"
3424,3134,"Oceanside City Council","CA","LOCAL","US",5,"4 years","https://www.ci.oceanside.ca.us/gov/council/default.asp","2020-11-03 00:00:00+00","","https://www.ci.oceanside.ca.us/gov/clerk/elections/current_elections.asp",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16282/change/"
3482,3282,"Richmond City Council","CA","LOCAL","US",7,"4 years","http://www.ci.richmond.ca.us/2013/Government","2020-11-03 00:00:00+00","","https://www.ci.richmond.ca.us/1349/Elections",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16432/change/"
3492,3223,"Antioch City Council","CA","LOCAL","US",5,"4 years","http://www.ci.antioch.ca.us/CityGov/CityCouncil.htm","2020-11-03 00:00:00+00","Mayor and two members of council","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/12839/change/"
3505,3199,"Fairfield City Council","CA","LOCAL","US",5,"4 years","https://www.fairfield.ca.gov/gov/city_council/default.asp","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16139/change/"
3518,3265,"Hayward City Council","CA","LOCAL","US",7,"4 years","https://www.hayward-ca.gov/your-government/city-council","2020-11-03 00:00:00+00","4 council seats","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16182/change/"
3532,3301,"Daly City Council","CA","LOCAL","US",5,"4 years","http://www.dalycity.org/About_Daly_City/City_Officials.htm","2020-11-03 00:00:00+00","","http://www.dalycity.org/City_Hall/Departments/city_clerk/Election_Information.htm",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16281/change/"
3557,3543,"Pearland Mayor","TX","LOCAL","US",1,"3 years","https://www.pearlandtx.gov/government/city-council","2020-11-03 00:00:00+00","Mayor, 3, 7","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/18006/change/"
3593,3191,"Miami Gardens City Council","FL","LOCAL","US",7,"4 years","https://www.miamigardens-fl.gov/269/City-Council","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16084/change/"
3655,3612,"Frisco City Council","TX","LOCAL","US",6,"3 years","http://www.friscotexas.gov/585/City-Council","2020-11-03 00:00:00+00","2 council seats","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/18009/change/"
3800,3142,"Elk Grove City Council","CA","LOCAL","US",5,"4 years (2 years for mayor)","http://www.elkgrovecity.org/cms/One.aspx?portalId=109669&pageId=119957","2020-11-03 00:00:00+00","Districts 1 and 3","http://www.elkgrovecity.org/city_hall/city_government/city_clerk/election_information",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16089/change/"
3803,3104,"Fontana City Council","CA","LOCAL","US",5,"4 years","https://www.fontana.org/69/City-Council","2020-11-03 00:00:00+00","2 council seats","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16377/change/"
