id,sk,name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff
4325,758,Legislative Assembly of Manitoba,MB,STATE,CA,57,,http://www.gov.mb.ca/legislature/members/,2023-10-03 00:00:00+00,,,False,False
5597,674,The Legislative Assembly of Northwest Territories,NT,STATE,CA,19,4 years,https://www.ntassembly.ca/,2023-10-03 00:00:00+00,All,,False,False
5917,1085,The Legislative Assembly of Prince Edward Island,PE,STATE,CA,27,4 years,https://www.assembly.pe.ca/,2023-10-02 00:00:00+00,All seats,https://www.electionspei.ca/,False,False
5433,383,Montgomery Mayor,AL,LOCAL,US,1,4 years,https://www.montgomeryal.gov/city-government/mayor-s-office,2023-08-22 00:00:00+00,,,False,False
6458,102,Montgomery City Council,AL,LOCAL,US,9,4 years,https://www.montgomeryal.gov/city-government/city-council,2023-08-22 00:00:00+00,All 9 districts.,,False,False
4080,37,Nashville Mayor,TN,LOCAL,US,1,4 years,http://www.nashville.gov/council/,2023-08-03 00:00:00+00,"Runoff elections, if necessary, shall be held on the second Thursday in September.",,False,False
4788,1056,Nashville Metropolitan Council,TN,LOCAL,US,41,4 years,http://www.nashville.gov/council/,2023-08-03 00:00:00+00,"All 41 seats. Runoff elections, if necessary, shall be held on the second Thursday in September.",,False,False
906,906,Kansas City Mayor,MO,LOCAL,US,1,,http://www.kcmo.org/council.nsf/council/home?opendocument,2023-06-19 00:00:00+00,All seats,https://www.kceb.org/,False,False
5400,206,Kansas City Council,MO,LOCAL,US,12,4 years,https://www.kcmo.gov/city-hall/city-officials/about-city-council,2023-06-19 00:00:00+00,All seats,https://www.kceb.org/,False,False
2223,261,Governor of Coahuila of Zaragoza,COA,STATE,MX,1,6 years,,2023-06-04 00:00:00+00,All,,False,False
2226,281,Governor of Mexico State,MEX,STATE,MX,1,6 years,http://portal2.edomex.gob.mx/edomex/gobierno/acercadelgobierno/elgobernador/index.htm,2023-06-04 00:00:00+00,All,,False,False
6414,734,Legislative Assembly of Alberta,AB,STATE,CA,87,5 years (approx),https://www.assembly.ab.ca/,2023-05-31 00:00:00+00,General elections shall be held within the 3-month period beginning on March 1 and ending on May 31 in the 4th calendar year following polling day in the most recent general election.,,False,False
6196,3543,Pearland Mayor,TX,LOCAL,US,1,3 years,https://www.pearlandtx.gov/government/city-council,2023-05-13 00:00:00+00,,,False,False
2673,2670,Irving Mayor,TX,LOCAL,US,1,3 years,,2023-05-06 00:00:00+00,"Mayor, Place 3, Place 5",,False,False
4627,933,Dallas Mayor,TX,LOCAL,US,1,4 years,http://dallascityhall.com/government/citymayor/Pages/default.aspx,2023-05-06 00:00:00+00,Mayor and all council members,https://dallascityhall.com/government/citysecretary/elections/Pages/elections.aspx,False,False
5931,3614,Frisco Mayor,TX,LOCAL,US,1,3 years,http://www.friscotexas.gov/585/City-Council,2023-05-06 00:00:00+00,Mayor and 2 council seats (places 5 and 6),,False,False
4556,3073,Lincoln Mayor,NE,LOCAL,US,1,4 years,https://lincoln.ne.gov/city/mayor/index.htm,2023-05-02 00:00:00+00,,,False,False
4674,728,Denver City Council,CO,LOCAL,US,13,4 years,http://www.denvergov.org/content/denvergov/en/denver-city-council.html,2023-05-02 00:00:00+00,All,,False,False
5244,1010,Denver Mayor,CO,LOCAL,US,1,4 years,http://www.denvergov.org/content/denvergov/en/mayors-office.html,2023-05-02 00:00:00+00,All,,False,False
3011,2849,Jefferson City Mayor,MO,LOCAL,US,1,4 years,http://www.jeffersoncitymo.gov/government/mayor.php,2023-04-04 00:00:00+00,Mayor and 1 council member from each ward,,False,False
3636,3181,Springfield Mayor,IL,LOCAL,US,1,4 years,http://www.springfield.il.us/Departments/Mayor/MayorHome.aspx,2023-04-04 00:00:00+00,All seats,,False,False
4168,3180,Springfield City Council,IL,LOCAL,US,10,4 years,http://www.springfield.il.us/Departments/CityCouncil/CityCouncilHome.aspx,2023-04-04 00:00:00+00,All seats,,False,False
4484,2852,Madison Mayor,WI,LOCAL,US,1,4 years,https://www.cityofmadison.com/mayor/about,2023-04-04 00:00:00+00,Mayor and all 20 Council seats,,False,False
4644,3305,Mayor of Green Bay,WI,LOCAL,US,1,4 years,http://greenbaywi.gov/200/Mayor,2023-04-04 00:00:00+00,,,False,False
5263,536,Colorado Springs Mayor,CO,LOCAL,US,1,4 years,https://coloradosprings.gov/mayors-office,2023-04-04 00:00:00+00,,,False,False
5725,1061,The Legislative Council of New South Wales,NSW,STATE,AS,42,8 years,https://www.parliament.nsw.gov.au/members/pages/all-members.aspx?house=LC,2023-03-25 00:00:00+00,,,False,False
